provincia,anio,poblacion_total,poblacion_varones,poblacion_mujeres,provincia_id,hogares,viviendas_particulares,viviendas_particulares_habitadas,superficie_km2,densidad_de_poblacion,fuera_de_rango
Río Negro,2027,811311,404690,406621,62,199189,236609,190597,203013,3.996349987439228,-0.2125473180440428
Río Negro,2028,819946,409007,410939,62,199189,236609,190597,203013,4.038884209385606,-0.2125334254997206
Río Negro,2029,828459,413262,415197,62,199189,236609,190597,203013,4.080817484594583,-0.2125197292368584
Río Negro,2030,836851,417454,419397,62,199189,236609,190597,203013,4.122154738859088,-0.21250622764659183
Río Negro,2031,845121,421585,423536,62,199189,236609,190597,203013,4.162891046386192,-0.21249292233778527
Río Negro,2032,853269,425654,427615,62,199189,236609,190597,203013,4.203026407175895,-0.21247981331043875
Río Negro,2033,861296,429663,431633,62,199189,236609,190597,203013,4.242565747021127,-0.21246689895568782
Río Negro,2034,869196,433608,435588,62,199189,236609,190597,203013,4.28147951116431,-0.21245418892671902
Río Negro,2035,876969,437490,439479,62,199189,236609,190597,203013,4.319767699605444,-0.2124416832235324
Río Negro,2036,884612,441308,443304,62,199189,236609,190597,203013,4.3574155349657415,-0.2124293866727212
Río Negro,2037,892125,445062,447063,62,199189,236609,190597,203013,4.3944230172452015,-0.21241729927428546
Río Negro,2038,899508,448752,450756,62,199189,236609,190597,203013,4.430790146443824,-0.21240542102822518
Río Negro,2039,906759,452377,454382,62,199189,236609,190597,203013,4.466507070975751,-0.21239375515226916
Río Negro,2040,913879,455938,457941,62,199189,236609,190597,203013,4.50157871663391,-0.21238230003755296
Salta,2025,1510087,747191,762896,66,299794,315186,267075,155488,9.711919890924058,-0.21068049635136168
Salta,2026,1526480,755306,771174,66,299794,315186,267075,155488,9.81734924881663,-0.21064606097296848
Salta,2027,1542650,763311,779339,66,299794,315186,267075,155488,9.92134441243054,-0.21061209403167533
Salta,2028,1558584,771199,787385,66,299794,315186,267075,155488,10.023821774027578,-0.21057862283547468
